product_id,name_en,name_es,name_fr,category,price_usd,description_en,description_es,description_fr,availability
P001,CloudSync Pro,CloudSync Pro,CloudSync Pro,cloud_storage,29.99,"Professional cloud storage with 1TB space and advanced sharing","Almacenamiento en la nube profesional con 1TB de espacio y compartición avanzada","Stockage cloud professionnel avec 1 To d'espace et partage avancé",available
P002,SecureVPN Enterprise,VPN Segura Empresarial,VPN Sécurisé Entreprise,security,49.99,"Enterprise-grade VPN with global servers and 24/7 support","VPN de nivel empresarial con servidores globales y soporte 24/7","VPN de niveau entreprise avec serveurs mondiaux et support 24h/24",available
P003,DataAnalytics Suite,Suite de Análisis de Datos,Suite d'Analyse de Données,analytics,99.99,"Complete data analytics platform with AI-powered insights","Plataforma completa de análisis de datos con insights impulsados por IA","Plateforme d'analyse de données complète avec des insights alimentés par l'IA",available
P004,Mobile App Builder,Constructor de Apps Móviles,Constructeur d'Apps Mobiles,development,79.99,"No-code mobile app development platform","Plataforma de desarrollo de aplicaciones móviles sin código","Plateforme de développement d'applications mobiles sans code",available
P005,Smart Backup Pro,Backup Inteligente Pro,Sauvegarde Intelligente Pro,backup,19.99,"Automated backup solution with intelligent scheduling","Solución de respaldo automatizada con programación inteligente","Solution de sauvegarde automatisée avec planification intelligente",available
P006,Team Collaboration Hub,Centro de Colaboración,Hub de Collaboration,collaboration,39.99,"All-in-one team collaboration platform","Plataforma de colaboración en equipo todo-en-uno","Plateforme de collaboration d'équipe tout-en-un",available
P007,AI Assistant Pro,Asistente IA Pro,Assistant IA Pro,ai,149.99,"Advanced AI assistant for business automation","Asistente de IA avanzado para automatización empresarial","Assistant IA avancé pour l'automatisation des entreprises",beta
P008,Network Monitor,Monitor de Red,Moniteur Réseau,monitoring,59.99,"Real-time network monitoring and alerting","Monitoreo de red en tiempo real y alertas","Surveillance réseau en temps réel et alertes",available
P009,Database Optimizer,Optimizador de Base de Datos,Optimiseur de Base de Données,database,89.99,"Database performance optimization tool","Herramienta de optimización de rendimiento de base de datos","Outil d'optimisation des performances de base de données",available
P010,Code Review Assistant,Asistente de Revisión de Código,Assistant de Révision de Code,development,69.99,"Automated code review with quality insights","Revisión automatizada de código con insights de calidad","Révision automatisée du code avec des insights qualité",coming_soon 